fold,record_id,representative_cluster_id,representative_record_id
4,39D4R,cluster:1LT8G,1LT8G
2,3CN24,cluster:HKDXH,HKDXH
1,3DUUH,cluster:45EFN,45EFN
2,3F18R,cluster:BUJNN,BUJNN
4,3FC3D,cluster:1LT8G,1LT8G
3,3G1CL,cluster:2EG15,2EG15
3,3KHK4,cluster:437NM,437NM
4,3PP3A,cluster:1LT8G,1LT8G
5,3Q37R,cluster:WQUOO,WQUOO
2,3SXVB,cluster:AJCVH,AJCVH
2,3W5ZV,cluster:T7XX8,T7XX8
4,3Z9FM,cluster:1LT8G,1LT8G
3,42Q3E,cluster:6LRFZ,6LRFZ
3,437NM,cluster:437NM,437NM
1,444PN,cluster:45EFN,45EFN
1,45EFN,cluster:45EFN,45EFN
2,498LC,cluster:T7XX8,T7XX8
5,49YLM,cluster:WQUOO,WQUOO
1,4BUSQ,cluster:4BUSQ,4BUSQ
4,4E21X,cluster:1LT8G,1LT8G
5,4GMRC,cluster:WQUOO,WQUOO
3,4JYN3,cluster:6LRFZ,6LRFZ
4,4LKQ5,cluster:VWTNO,VWTNO
2,4NRYW,cluster:T7XX8,T7XX8
1,4O71N,cluster:45EFN,45EFN
5,4OC6N,cluster:WQUOO,WQUOO
4,4QJ63,cluster:1LT8G,1LT8G
3,4UCC6,cluster:6LRFZ,6LRFZ
5,4VSRL,cluster:WQUOO,WQUOO
4,4XHVQ,cluster:4XHVQ,4XHVQ
5,4Z641,cluster:WQUOO,WQUOO
5,4Z6XY,cluster:WQUOO,WQUOO
5,514KE,cluster:WQUOO,WQUOO
3,52ADP,cluster:6LRFZ,6LRFZ
4,54XX1,cluster:1LT8G,1LT8G
4,55FPY,cluster:1KUE6,1KUE6
1,588N2,cluster:45EFN,45EFN
5,59R1F,cluster:WQUOO,WQUOO
1,5CEBO,cluster:45EFN,45EFN
1,5DP2R,cluster:45EFN,45EFN
5,5E826,cluster:WQUOO,WQUOO
1,5EU5J,cluster:5EU5J,5EU5J
4,5GJX3,cluster:1LT8G,1LT8G
1,5GR1V,cluster:45EFN,45EFN
4,5H7QY,cluster:4XHVQ,4XHVQ
4,5HD4W,cluster:1LT8G,1LT8G
2,5LCAQ,cluster:5LCAQ,5LCAQ
2,5N1DD,cluster:5N1DD,5N1DD
5,5NY15,cluster:WQUOO,WQUOO
4,5TSUE,cluster:5TSUE,5TSUE
4,5ULGG,cluster:5ULGG,5ULGG
2,5WALF,cluster:AJCVH,AJCVH
5,5WSHL,cluster:WQUOO,WQUOO
4,5X9A8,cluster:1LT8G,1LT8G
2,5YBHO,cluster:5YBHO,5YBHO
1,5YCFA,cluster:45EFN,45EFN
5,671NA,cluster:WQUOO,WQUOO
1,68RZA,cluster:68RZA,68RZA
2,6BXQP,cluster:T9CO9,T9CO9
5,6E1ER,cluster:WQUOO,WQUOO
2,6EEUG,cluster:HKDXH,HKDXH
4,6F9A8,cluster:1LT8G,1LT8G
2,6KLAW,cluster:9JNRR,9JNRR
5,6KPKA,cluster:WQUOO,WQUOO
1,6LJKY,cluster:45EFN,45EFN
3,6LRFZ,cluster:6LRFZ,6LRFZ
5,6O8HW,cluster:WQUOO,WQUOO
5,6ORKJ,cluster:WQUOO,WQUOO
5,6VP2A,cluster:WQUOO,WQUOO
5,6VV9O,cluster:WQUOO,WQUOO
1,6VVTK,cluster:45EFN,45EFN
4,71X7X,cluster:4XHVQ,4XHVQ
2,73GT1,cluster:AJCVH,AJCVH
1,73TKS,cluster:73TKS,73TKS
4,77HQK,cluster:1LT8G,1LT8G
1,782GK,cluster:782GK,782GK
3,7AJCQ,cluster:7AJCQ,7AJCQ
5,7AV5G,cluster:WQUOO,WQUOO
4,7DEM9,cluster:TC87V,TC87V
2,7DP3C,cluster:9JNRR,9JNRR
4,7EWEM,cluster:1LT8G,1LT8G
4,7FXGZ,cluster:1LT8G,1LT8G
5,7G47U,cluster:WQUOO,WQUOO
3,7GO5D,cluster:7GO5D,7GO5D
3,7P38V,cluster:6LRFZ,6LRFZ
5,7QYHY,cluster:WQUOO,WQUOO
4,7UFQR,cluster:1LT8G,1LT8G
4,7WEWT,cluster:1KUE6,1KUE6
4,7XHKJ,cluster:7XHKJ,7XHKJ
5,7ZG25,cluster:WQUOO,WQUOO
2,81ENW,cluster:AJCVH,AJCVH
4,85KA4,cluster:TC87V,TC87V
1,86FNG,cluster:45EFN,45EFN
3,87UEF,cluster:6LRFZ,6LRFZ
3,886AH,cluster:ESQ8O,ESQ8O
1,893F3,cluster:45EFN,45EFN
1,8BUQQ,cluster:8BUQQ,8BUQQ
2,8DFHZ,cluster:AJCVH,AJCVH
5,8DNLG,cluster:WQUOO,WQUOO
2,8DX6R,cluster:9JNRR,9JNRR
4,8MJ78,cluster:1LT8G,1LT8G
1,8PKAY,cluster:O8SH6,O8SH6
2,8QC31,cluster:AJCVH,AJCVH
5,8RSXF,cluster:WQUOO,WQUOO
2,8TF9W,cluster:T7XX8,T7XX8
2,8TL1P,cluster:5N1DD,5N1DD
3,8XMCL,cluster:8XMCL,8XMCL
4,95LHQ,cluster:4XHVQ,4XHVQ
5,963OH,cluster:WQUOO,WQUOO
2,97MBQ,cluster:HKDXH,HKDXH
5,9ALF8,cluster:WQUOO,WQUOO
3,9BOLR,cluster:DOU4X,DOU4X
5,9CEJ5,cluster:WQUOO,WQUOO
4,9EUJH,cluster:1LT8G,1LT8G
3,9FQLJ,cluster:7GO5D,7GO5D
1,9GUD2,cluster:45EFN,45EFN
5,9H4UT,cluster:WQUOO,WQUOO
5,9HU84,cluster:WQUOO,WQUOO
2,9JNRR,cluster:9JNRR,9JNRR
3,9KH59,cluster:6LRFZ,6LRFZ
5,9KYTB,cluster:WQUOO,WQUOO
5,9PBZV,cluster:WQUOO,WQUOO
4,9S2ZE,cluster:1LT8G,1LT8G
3,9U6KU,cluster:6LRFZ,6LRFZ
5,A2OWC,cluster:WQUOO,WQUOO
2,A315M,cluster:A315M,A315M
1,A3B6M,cluster:45EFN,45EFN
5,A6N87,cluster:WQUOO,WQUOO
1,A6URG,cluster:A6URG,A6URG
2,A77ZH,cluster:9JNRR,9JNRR
4,A8BXL,cluster:134NN,134NN
4,A8RF9,cluster:1LT8G,1LT8G
4,ACXOE,cluster:ACXOE,ACXOE
5,AD4BK,cluster:WQUOO,WQUOO
2,AE8QV,cluster:9JNRR,9JNRR
4,AHNXC,cluster:1LT8G,1LT8G
2,AJCVH,cluster:AJCVH,AJCVH
4,AJJAK,cluster:1LT8G,1LT8G
3,AJLWS,cluster:2EG15,2EG15
1,AL871,cluster:45EFN,45EFN
2,ALL3F,cluster:9JNRR,9JNRR
4,AQ2DU,cluster:VWTNO,VWTNO
1,AQ8G3,cluster:45EFN,45EFN
5,AQACH,cluster:WQUOO,WQUOO
2,ASMG7,cluster:GNU4X,GNU4X
3,ASSY9,cluster:6LRFZ,6LRFZ
3,AW33C,cluster:21PQ5,21PQ5
3,AYRSR,cluster:1B7TK,1B7TK
3,B1GJH,cluster:21E2G,21E2G
5,B28N7,cluster:WQUOO,WQUOO
2,B3LN6,cluster:9JNRR,9JNRR
2,B4SGV,cluster:BUJNN,BUJNN
5,B4SOW,cluster:WQUOO,WQUOO
2,B53TZ,cluster:V6A1P,V6A1P
5,B6J33,cluster:WQUOO,WQUOO
5,B72B1,cluster:WQUOO,WQUOO
5,B8S8J,cluster:WQUOO,WQUOO
4,BFJKS,cluster:1LT8G,1LT8G
4,BH9MB,cluster:ACXOE,ACXOE
5,BJRSJ,cluster:WQUOO,WQUOO
5,BKD94,cluster:WQUOO,WQUOO
5,BL164,cluster:WQUOO,WQUOO
3,BQFPM,cluster:6LRFZ,6LRFZ
4,BRFP4,cluster:1LT8G,1LT8G
5,BSK5M,cluster:WQUOO,WQUOO
5,BU5R3,cluster:WQUOO,WQUOO
2,BUJNN,cluster:BUJNN,BUJNN
1,BXYZE,cluster:Y46HX,Y46HX
2,C2FJQ,cluster:C2FJQ,C2FJQ
4,C2N5S,cluster:1LT8G,1LT8G
5,C5EUY,cluster:WQUOO,WQUOO
1,CC2YL,cluster:45EFN,45EFN
5,CGRMD,cluster:WQUOO,WQUOO
1,CN92E,cluster:45EFN,45EFN
3,CQ4QL,cluster:6LRFZ,6LRFZ
1,CQCQT,cluster:45EFN,45EFN
1,CS45L,cluster:45EFN,45EFN
5,CVUYM,cluster:WQUOO,WQUOO
5,D4OFQ,cluster:WQUOO,WQUOO
5,D7L1L,cluster:WQUOO,WQUOO
5,D7QYG,cluster:WQUOO,WQUOO
3,D87D7,cluster:6LRFZ,6LRFZ
5,D9JZ4,cluster:WQUOO,WQUOO
4,DBBO8,cluster:1LT8G,1LT8G
1,DCYCK,cluster:45EFN,45EFN
5,DF1S4,cluster:WQUOO,WQUOO
1,DFXUK,cluster:45EFN,45EFN
3,DGXFA,cluster:2EG15,2EG15
3,DKEXK,cluster:6LRFZ,6LRFZ
4,DKZQ7,cluster:1LT8G,1LT8G
5,DO6Z1,cluster:WQUOO,WQUOO
3,DOGBN,cluster:6LRFZ,6LRFZ
3,DOU4X,cluster:DOU4X,DOU4X
3,DP999,cluster:1B7TK,1B7TK
3,DSZCH,cluster:6LRFZ,6LRFZ
4,DTAXR,cluster:1LT8G,1LT8G
3,DVDZZ,cluster:WH633,WH633
5,DVMQ7,cluster:WQUOO,WQUOO
4,DX3TE,cluster:5TSUE,5TSUE
4,E3FDV,cluster:1LT8G,1LT8G
2,EC56T,cluster:AJCVH,AJCVH
5,EEJ9Q,cluster:WQUOO,WQUOO
5,EG3EK,cluster:WQUOO,WQUOO
1,EGE3L,cluster:45EFN,45EFN
3,ESQ8O,cluster:ESQ8O,ESQ8O
1,EY2GX,cluster:45EFN,45EFN
2,F1MW1,cluster:BUJNN,BUJNN
4,F35B7,cluster:1LT8G,1LT8G
3,F3GZ1,cluster:6LRFZ,6LRFZ
5,F9HKG,cluster:WQUOO,WQUOO
2,FD244,cluster:BUJNN,BUJNN
5,FE6UX,cluster:WQUOO,WQUOO
2,FHG23,cluster:FHG23,FHG23
1,FLO5T,cluster:45EFN,45EFN
3,FM4GO,cluster:6LRFZ,6LRFZ
3,FM76L,cluster:6LRFZ,6LRFZ
1,FRM5D,cluster:45EFN,45EFN
3,FRRJW,cluster:ESQ8O,ESQ8O
1,FVS3D,cluster:45EFN,45EFN
3,FWVH2,cluster:1M48O,1M48O
1,G1DQY,cluster:45EFN,45EFN
5,G1VL1,cluster:WQUOO,WQUOO
5,G4VP2,cluster:WQUOO,WQUOO
2,G5H29,cluster:G5H29,G5H29
4,G5OWS,cluster:1LT8G,1LT8G
1,G6HDH,cluster:45EFN,45EFN
4,G9U12,cluster:1LT8G,1LT8G
5,GB9EO,cluster:WQUOO,WQUOO
3,GCOU1,cluster:1B7TK,1B7TK
3,GE6KO,cluster:6LRFZ,6LRFZ
3,GGUJF,cluster:6LRFZ,6LRFZ
5,GHBKT,cluster:WQUOO,WQUOO
2,GHNRL,cluster:9JNRR,9JNRR
1,GJDTN,cluster:Y46HX,Y46HX
5,GJETS,cluster:WQUOO,WQUOO
5,GLAD6,cluster:WQUOO,WQUOO
4,GLJ6S,cluster:1LT8G,1LT8G
3,GNJK5,cluster:1B7TK,1B7TK
2,GNU4X,cluster:GNU4X,GNU4X
2,GNV89,cluster:G5H29,G5H29
5,GQRF2,cluster:WQUOO,WQUOO
1,GSCT9,cluster:GSCT9,GSCT9
4,GSP4M,cluster:VWTNO,VWTNO
2,GUFES,cluster:GNU4X,GNU4X
1,GW5EB,cluster:GW5EB,GW5EB
3,GZU2E,cluster:6LRFZ,6LRFZ
1,H6RGM,cluster:45EFN,45EFN
2,H8UXC,cluster:AJCVH,AJCVH
3,H93B4,cluster:7GO5D,7GO5D
5,H99SX,cluster:WQUOO,WQUOO
2,HC91W,cluster:GNU4X,GNU4X
5,HFE84,cluster:WQUOO,WQUOO
4,HGBNQ,cluster:P2GXH,P2GXH
2,HKDXH,cluster:HKDXH,HKDXH
4,HMK8R,cluster:134NN,134NN
3,HO9GG,cluster:1B7TK,1B7TK
1,HQZZC,cluster:45EFN,45EFN
5,HUE6V,cluster:WQUOO,WQUOO
3,HXBWE,cluster:HXBWE,HXBWE
5,HXP5A,cluster:WQUOO,WQUOO
1,HZMZV,cluster:45EFN,45EFN
5,J2JWA,cluster:WQUOO,WQUOO
5,J325F,cluster:WQUOO,WQUOO
5,J59TV,cluster:WQUOO,WQUOO
3,JB7SD,cluster:6LRFZ,6LRFZ
1,JGCGO,cluster:782GK,782GK
5,JJV3D,cluster:WQUOO,WQUOO
5,JM7JP,cluster:WQUOO,WQUOO
1,JMXXU,cluster:45EFN,45EFN
4,JOHLM,cluster:VWTNO,VWTNO
4,JS116,cluster:5TSUE,5TSUE
4,JS838,cluster:1LT8G,1LT8G
1,JTXCJ,cluster:Y46HX,Y46HX
3,JVB9K,cluster:DOU4X,DOU4X
3,JVUSZ,cluster:21PQ5,21PQ5
1,JVYE5,cluster:45EFN,45EFN
1,JXVU8,cluster:45EFN,45EFN
5,JY7XC,cluster:WQUOO,WQUOO
5,JYYJ1,cluster:WQUOO,WQUOO
3,K782G,cluster:6LRFZ,6LRFZ
5,KBERH,cluster:WQUOO,WQUOO
2,KDHFJ,cluster:AJCVH,AJCVH
4,KEBCT,cluster:4XHVQ,4XHVQ
3,KECCG,cluster:21E2G,21E2G
3,KETFB,cluster:8XMCL,8XMCL
2,KHSZ4,cluster:KHSZ4,KHSZ4
2,KKQNA,cluster:GNU4X,GNU4X
5,KSK4V,cluster:WQUOO,WQUOO
3,L1ZEW,cluster:6LRFZ,6LRFZ
3,L3C27,cluster:6LRFZ,6LRFZ
2,LDVKW,cluster:LDVKW,LDVKW
5,LDZC9,cluster:WQUOO,WQUOO
4,LF3LJ,cluster:1LT8G,1LT8G
4,LG377,cluster:1LT8G,1LT8G
2,LGDN9,cluster:5LCAQ,5LCAQ
5,LKB4E,cluster:WQUOO,WQUOO
2,LMJV4,cluster:BUJNN,BUJNN
4,LNY1F,cluster:VWTNO,VWTNO
2,LO7EL,cluster:T7XX8,T7XX8
4,LP3PQ,cluster:VWTNO,VWTNO
3,LQXJ6,cluster:21PQ5,21PQ5
5,LS1K6,cluster:WQUOO,WQUOO
2,LTFO5,cluster:5LCAQ,5LCAQ
2,LTRTO,cluster:C2FJQ,C2FJQ
2,LXWLT,cluster:GNU4X,GNU4X
3,LY1S9,cluster:6LRFZ,6LRFZ
2,M3FBS,cluster:5N1DD,5N1DD
4,M59JJ,cluster:1LT8G,1LT8G
2,MASAE,cluster:1KNNM,1KNNM
1,MEFJC,cluster:8BUQQ,8BUQQ
5,MGNCD,cluster:WQUOO,WQUOO
2,MHMQX,cluster:T7XX8,T7XX8
5,MLHQR,cluster:WQUOO,WQUOO
3,MNH1D,cluster:6LRFZ,6LRFZ
3,MQNBX,cluster:21E2G,21E2G
5,MRKZY,cluster:WQUOO,WQUOO
1,MSSUL,cluster:45EFN,45EFN
2,MSYZC,cluster:HKDXH,HKDXH
5,MVN8T,cluster:WQUOO,WQUOO
3,MX4SD,cluster:6LRFZ,6LRFZ
4,MZMFB,cluster:1LT8G,1LT8G
2,MZOGH,cluster:MZOGH,MZOGH
1,N33JN,cluster:45EFN,45EFN
3,N3G27,cluster:2EG15,2EG15
1,N63O3,cluster:45EFN,45EFN
3,N6WUS,cluster:N6WUS,N6WUS
5,N6ZHS,cluster:WQUOO,WQUOO
2,N8HMF,cluster:AJCVH,AJCVH
1,N8PD5,cluster:45EFN,45EFN
1,N9NE1,cluster:N9NE1,N9NE1
3,NC216,cluster:NC216,NC216
2,ND36H,cluster:5LCAQ,5LCAQ
4,NENVO,cluster:NENVO,NENVO
4,NLF4R,cluster:1LT8G,1LT8G
5,NLY5P,cluster:WQUOO,WQUOO
5,NOX8W,cluster:WQUOO,WQUOO
2,NPCN7,cluster:T7XX8,T7XX8
1,NYYN4,cluster:45EFN,45EFN
3,O2UFD,cluster:6LRFZ,6LRFZ
1,O351D,cluster:45EFN,45EFN
1,O8SH6,cluster:O8SH6,O8SH6
4,OADBJ,cluster:1LT8G,1LT8G
4,OAKV5,cluster:1LT8G,1LT8G
3,OB7P5,cluster:6LRFZ,6LRFZ
1,OF5G5,cluster:45EFN,45EFN
5,OMA2X,cluster:WQUOO,WQUOO
1,OMODZ,cluster:45EFN,45EFN
1,OOASP,cluster:45EFN,45EFN
3,OOLCX,cluster:WH633,WH633
4,OORFP,cluster:P2GXH,P2GXH
5,ORBRD,cluster:WQUOO,WQUOO
1,OS9DX,cluster:45EFN,45EFN
4,OSFMK,cluster:OSFMK,OSFMK
2,OTXRQ,cluster:AJCVH,AJCVH
1,OVJRJ,cluster:45EFN,45EFN
1,OW4TY,cluster:8BUQQ,8BUQQ
3,OX75X,cluster:2EG15,2EG15
3,OYSEV,cluster:7GO5D,7GO5D
3,OZEBT,cluster:2EG15,2EG15
4,P2GXH,cluster:P2GXH,P2GXH
5,P38Q4,cluster:WQUOO,WQUOO
2,P3DVP,cluster:GNU4X,GNU4X
1,P4KRD,cluster:45EFN,45EFN
2,P9LBW,cluster:P9LBW,P9LBW
2,PA6OT,cluster:AJCVH,AJCVH
5,PF2S1,cluster:WQUOO,WQUOO
3,PG1ZQ,cluster:WH633,WH633
3,PGG5S,cluster:7GO5D,7GO5D
4,PGSB7,cluster:PGSB7,PGSB7
4,PL2EH,cluster:PL2EH,PL2EH
1,PL518,cluster:45EFN,45EFN
2,PO1ML,cluster:5N1DD,5N1DD
1,POBTH,cluster:45EFN,45EFN
3,PRMX6,cluster:6LRFZ,6LRFZ
3,PV8DK,cluster:2EG15,2EG15
4,Q2ZO7,cluster:1LT8G,1LT8G
3,Q31FH,cluster:6LRFZ,6LRFZ
4,Q5DYR,cluster:1KUE6,1KUE6
2,Q5F5J,cluster:V6A1P,V6A1P
3,Q6V69,cluster:1B7TK,1B7TK
5,Q7WVB,cluster:WQUOO,WQUOO
1,Q8AAM,cluster:45EFN,45EFN
4,Q8TQ6,cluster:1LT8G,1LT8G
4,Q8WTP,cluster:4XHVQ,4XHVQ
2,Q92FU,cluster:BUJNN,BUJNN
1,QB1DP,cluster:73TKS,73TKS
2,QB9WJ,cluster:HKDXH,HKDXH
1,QEO8D,cluster:45EFN,45EFN
4,QGZZT,cluster:VWTNO,VWTNO
4,QJV5C,cluster:1LT8G,1LT8G
3,QKBVG,cluster:6LRFZ,6LRFZ
5,QKFJN,cluster:WQUOO,WQUOO
1,QNYK6,cluster:QNYK6,QNYK6
1,QNZSY,cluster:8BUQQ,8BUQQ
5,QPK3T,cluster:WQUOO,WQUOO
1,QQJHZ,cluster:O8SH6,O8SH6
1,QRBKZ,cluster:Y46HX,Y46HX
5,QS3XQ,cluster:WQUOO,WQUOO
3,QTBVW,cluster:6LRFZ,6LRFZ
4,QUVLA,cluster:5TSUE,5TSUE
2,QVF1F,cluster:9JNRR,9JNRR
5,QX7D1,cluster:WQUOO,WQUOO
2,R5RQ5,cluster:9JNRR,9JNRR
5,R9NL8,cluster:WQUOO,WQUOO
3,RAKQZ,cluster:2EG15,2EG15
4,RATTD,cluster:1LT8G,1LT8G
2,RD2N4,cluster:AJCVH,AJCVH
5,RDRFL,cluster:WQUOO,WQUOO
4,REVUQ,cluster:1LT8G,1LT8G
5,RFW2X,cluster:WQUOO,WQUOO
3,RHTPG,cluster:6LRFZ,6LRFZ
3,RK5BV,cluster:21E2G,21E2G
4,ROTAL,cluster:PL2EH,PL2EH
4,RR1M4,cluster:134NN,134NN
1,RSRP9,cluster:45EFN,45EFN
4,RTMMX,cluster:1LT8G,1LT8G
4,RU9EF,cluster:1LT8G,1LT8G
5,RYFE4,cluster:WQUOO,WQUOO
1,S1U3D,cluster:S1U3D,S1U3D
4,S4HC8,cluster:1LT8G,1LT8G
4,S6A7A,cluster:1LT8G,1LT8G
5,SBLM5,cluster:WQUOO,WQUOO
5,SDS4K,cluster:WQUOO,WQUOO
2,SEJPD,cluster:HKDXH,HKDXH
5,SGW8V,cluster:WQUOO,WQUOO
1,SKHT2,cluster:GSCT9,GSCT9
1,SS15T,cluster:45EFN,45EFN
5,SSTDU,cluster:WQUOO,WQUOO
1,STCSK,cluster:45EFN,45EFN
1,SV3XM,cluster:45EFN,45EFN
2,SXBT1,cluster:BUJNN,BUJNN
3,SXSQ9,cluster:6LRFZ,6LRFZ
5,SXYKQ,cluster:WQUOO,WQUOO
5,SY6TH,cluster:WQUOO,WQUOO
5,SZYEK,cluster:WQUOO,WQUOO
5,T23T9,cluster:WQUOO,WQUOO
3,T33XW,cluster:WH633,WH633
2,T41NE,cluster:5YBHO,5YBHO
2,T44E8,cluster:5YBHO,5YBHO
2,T44HU,cluster:AJCVH,AJCVH
4,T5A9C,cluster:T5A9C,T5A9C
1,T5UGO,cluster:45EFN,45EFN
2,T7XX8,cluster:T7XX8,T7XX8
5,T972V,cluster:WQUOO,WQUOO
2,T9CO9,cluster:T9CO9,T9CO9
4,T9G4X,cluster:1LT8G,1LT8G
4,TC87V,cluster:TC87V,TC87V
4,TDA9A,cluster:TDA9A,TDA9A
2,TDOH1,cluster:GNU4X,GNU4X
1,THSBS,cluster:45EFN,45EFN
5,THWKH,cluster:WQUOO,WQUOO
4,TL112,cluster:1LT8G,1LT8G
1,TN3DM,cluster:45EFN,45EFN
3,TP5Z2,cluster:6LRFZ,6LRFZ
5,TPB93,cluster:WQUOO,WQUOO
5,TR5BB,cluster:WQUOO,WQUOO
5,TUONH,cluster:WQUOO,WQUOO
3,TUP2T,cluster:2EG15,2EG15
5,TWJXO,cluster:WQUOO,WQUOO
1,TXLFX,cluster:45EFN,45EFN
5,TZ5KN,cluster:WQUOO,WQUOO
1,U69HK,cluster:73TKS,73TKS
1,U76BO,cluster:45EFN,45EFN
1,U97V7,cluster:8BUQQ,8BUQQ
2,U9LQE,cluster:AJCVH,AJCVH
5,UDAAK,cluster:WQUOO,WQUOO
2,UHFSE,cluster:5YBHO,5YBHO
2,UL6ZA,cluster:BUJNN,BUJNN
5,UNETX,cluster:WQUOO,WQUOO
5,UOJ8M,cluster:WQUOO,WQUOO
5,UPG56,cluster:WQUOO,WQUOO
4,UQCHR,cluster:1LT8G,1LT8G
4,UQH8C,cluster:1LT8G,1LT8G
5,UQX41,cluster:WQUOO,WQUOO
1,UUTXN,cluster:68RZA,68RZA
1,UVJD2,cluster:45EFN,45EFN
3,UVP48,cluster:WH633,WH633
2,UWMXB,cluster:AJCVH,AJCVH
2,V2GB1,cluster:AJCVH,AJCVH
5,V3NZ1,cluster:WQUOO,WQUOO
1,V41RE,cluster:45EFN,45EFN
5,V534T,cluster:WQUOO,WQUOO
1,V5FM2,cluster:45EFN,45EFN
2,V6A1P,cluster:V6A1P,V6A1P
5,V7M33,cluster:WQUOO,WQUOO
5,V7NZK,cluster:WQUOO,WQUOO
5,V81JD,cluster:WQUOO,WQUOO
3,VAQHD,cluster:21E2G,21E2G
2,VAXZZ,cluster:T7XX8,T7XX8
1,VB2NB,cluster:45EFN,45EFN
3,VDDDT,cluster:N6WUS,N6WUS
5,VE1RL,cluster:WQUOO,WQUOO
3,VKDX5,cluster:DOU4X,DOU4X
2,VPDTG,cluster:AJCVH,AJCVH
2,VPR4D,cluster:A315M,A315M
5,VR7EN,cluster:WQUOO,WQUOO
1,VSU6B,cluster:45EFN,45EFN
2,VUXRF,cluster:AJCVH,AJCVH
2,VVNZ5,cluster:AJCVH,AJCVH
3,VVQ8D,cluster:WH633,WH633
4,VWTNO,cluster:VWTNO,VWTNO
4,VXEVZ,cluster:1LT8G,1LT8G
2,W1X8H,cluster:T7XX8,T7XX8
4,W34KB,cluster:1LT8G,1LT8G
3,W4PW7,cluster:WH633,WH633
4,W7ZR3,cluster:W7ZR3,W7ZR3
2,W8LAG,cluster:5LCAQ,5LCAQ
2,WBU2Y,cluster:AJCVH,AJCVH
5,WCSN6,cluster:WQUOO,WQUOO
3,WH633,cluster:WH633,WH633
4,WHKL9,cluster:5TSUE,5TSUE
1,WK5F6,cluster:GSCT9,GSCT9
3,WLCQP,cluster:6LRFZ,6LRFZ
3,WLNHW,cluster:21PQ5,21PQ5
1,WN1JX,cluster:4BUSQ,4BUSQ
1,WNJAS,cluster:45EFN,45EFN
5,WQ6TU,cluster:WQUOO,WQUOO
5,WQUOO,cluster:WQUOO,WQUOO
4,WRF55,cluster:1LT8G,1LT8G
1,WRGL6,cluster:782GK,782GK
5,WRK8K,cluster:WQUOO,WQUOO
2,WSRVG,cluster:V6A1P,V6A1P
3,WV3Q7,cluster:6LRFZ,6LRFZ
2,WVV8W,cluster:5YBHO,5YBHO
3,WZXU4,cluster:WZXU4,WZXU4
3,X1DTP,cluster:2EG15,2EG15
5,XBGJO,cluster:WQUOO,WQUOO
1,XHBTX,cluster:45EFN,45EFN
3,XJO9Z,cluster:6LRFZ,6LRFZ
3,XKDOQ,cluster:6LRFZ,6LRFZ
1,XOVUP,cluster:45EFN,45EFN
4,XQCPX,cluster:1LT8G,1LT8G
1,XU2WO,cluster:45EFN,45EFN
5,XZJ98,cluster:WQUOO,WQUOO
1,Y46HX,cluster:Y46HX,Y46HX
5,YAH6C,cluster:WQUOO,WQUOO
1,YEOJF,cluster:QNYK6,QNYK6
3,YG5WM,cluster:YG5WM,YG5WM
3,YHJV5,cluster:1B7TK,1B7TK
2,YJY7C,cluster:AJCVH,AJCVH
2,YLRRG,cluster:AJCVH,AJCVH
1,YQ25V,cluster:YQ25V,YQ25V
5,YUJWJ,cluster:WQUOO,WQUOO
5,YVJ5E,cluster:WQUOO,WQUOO
5,YX459,cluster:WQUOO,WQUOO
4,Z3GLX,cluster:1LT8G,1LT8G
